"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category","United States"
"1988-05-01 00:00:00",100.9816
"1988-06-01 00:00:00",101.0484
"1988-07-01 00:00:00",101.1149
"1988-08-01 00:00:00",101.2215
"1988-09-01 00:00:00",101.2065
"1988-10-01 00:00:00",101.0682
"1988-11-01 00:00:00",100.968
"1988-12-01 00:00:00",100.9942
"1989-01-01 00:00:00",101.1329
"1989-02-01 00:00:00",101.113
"1989-03-01 00:00:00",100.9706
"1989-04-01 00:00:00",100.7757
"1989-05-01 00:00:00",100.6463
"1989-06-01 00:00:00",100.6147
"1989-07-01 00:00:00",100.663
"1989-08-01 00:00:00",100.7435
"1989-09-01 00:00:00",100.8943
"1989-10-01 00:00:00",100.8773
"1989-11-01 00:00:00",100.7542
"1989-12-01 00:00:00",100.6806
"1990-01-01 00:00:00",100.678
"1990-02-01 00:00:00",100.6601
"1990-03-01 00:00:00",100.7285
"1990-04-01 00:00:00",100.7805
"1990-05-01 00:00:00",100.6517
"1990-06-01 00:00:00",100.3684
"1990-07-01 00:00:00",99.88989
"1990-08-01 00:00:00",99.12209
"1990-09-01 00:00:00",98.38447
"1990-10-01 00:00:00",97.79494
"1990-11-01 00:00:00",97.58559
"1990-12-01 00:00:00",97.64923
"1991-01-01 00:00:00",97.99487
"1991-02-01 00:00:00",98.6254
"1991-03-01 00:00:00",99.34444
"1991-04-01 00:00:00",99.54753
"1991-05-01 00:00:00",99.53061
"1991-06-01 00:00:00",99.59545
"1991-07-01 00:00:00",99.65642
"1991-08-01 00:00:00",99.62095
"1991-09-01 00:00:00",99.42236
"1991-10-01 00:00:00",98.94981
"1991-11-01 00:00:00",98.36411
"1991-12-01 00:00:00",98.01952
"1992-01-01 00:00:00",97.97116
"1992-02-01 00:00:00",98.21427
"1992-03-01 00:00:00",98.65046
"1992-04-01 00:00:00",98.99698
"1992-05-01 00:00:00",99.19426
"1992-06-01 00:00:00",99.20007
"1992-07-01 00:00:00",99.0266
"1992-08-01 00:00:00",98.87527
"1992-09-01 00:00:00",98.86486
"1992-10-01 00:00:00",99.1243
"1992-11-01 00:00:00",99.74444
"1992-12-01 00:00:00",100.2491
"1993-01-01 00:00:00",100.3811
"1993-02-01 00:00:00",100.2659
"1993-03-01 00:00:00",100.08
"1993-04-01 00:00:00",99.84988
"1993-05-01 00:00:00",99.55592
"1993-06-01 00:00:00",99.32733
"1993-07-01 00:00:00",99.11495
"1993-08-01 00:00:00",99.0605
"1993-09-01 00:00:00",99.18163
"1993-10-01 00:00:00",99.46148
"1993-11-01 00:00:00",99.79791
"1993-12-01 00:00:00",100.2861
"1994-01-01 00:00:00",100.7065
"1994-02-01 00:00:00",100.8567
"1994-03-01 00:00:00",100.8459
"1994-04-01 00:00:00",100.8163
"1994-05-01 00:00:00",100.7539
"1994-06-01 00:00:00",100.6478
"1994-07-01 00:00:00",100.5754
"1994-08-01 00:00:00",100.6213
"1994-09-01 00:00:00",100.6919
"1994-10-01 00:00:00",100.7858
"1994-11-01 00:00:00",100.8999
"1994-12-01 00:00:00",101.0761
"1995-01-01 00:00:00",101.1581
"1995-02-01 00:00:00",101.0254
"1995-03-01 00:00:00",100.8046
"1995-04-01 00:00:00",100.7089
"1995-05-01 00:00:00",100.6963
"1995-06-01 00:00:00",100.8231
"1995-07-01 00:00:00",100.9402
